District in Greater Cairo where you live,Which day of the week (Step III) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing dishes in a Dish Washing Machine during the time you spent at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine during the time you spent at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers",
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",6,18,3.78,22.7,0,0,0,1.2,8,0,34.05,0,1.8,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",6,189.2,3.78,22.7,0,0,0,1.06,7,0,45.5,7.56,1.66,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",6,14.2,3.78,23,0,0,0,0.5,8,0,35,3.78,1.5,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",4,141.9,3.78,11.35,0,0,0,0.4,9,7,11.35,3.78,1.5,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",12,189.2,3.78,11.35,0,0,0,0,12,0,11.35,3.78,1.5,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",12,189.2,3.78,11.35,0,0,0,1.2,12,0,0,3.78,1.5,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,41.246,3.78,22.7,0,0,0,1.915,4,0,11.35,8.2404,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",5,94.6,3.78,11.35,0,15,0,0.46,9,0,22.7,3.78,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",10,189.2,3.78,11.35,0,0,0,1,14,0,0,3.78,1.2,N/A,0,0,0,0,0,0,0,
"Ad-Duqqī , الدقي","Sunday, October 29th 2023",18,56.76,3.78,34.05,0,0,0,2.4,6,0,0,3.78,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",12,0,3.78,34.05,0,15,0,1.2,12,0,11.35,1.89,1.2,N/A,0,0,0,0,0,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Monday, October 30th 2023",8,0,3.78,11.35,0,0,0,0.6,10,0,0,1.5,1.2,N/A,0,0,0,0,0,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Sunday, October 29th 2023",6,28.38,3.78,56.75,0,0,0,1.6,5,0,45.4,7.56,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",12,66.22,3.78,22.7,7.57,0,0,1,10,0,22.7,3.78,1,n/a,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",13,0,3.78,22.7,0,0,0,0.6,10,0,22.7,3.78,1,n/a,0,0,0,0,0,0,0,
"Miṣr al-Qadīmah [Old Cairo] , مصر القديمة","Monday, October 30th 2023",10,47.3,3.78,15.13,45.42,0,0,1,12,0,15.13,3.78,1,N/A,0,0,0,0,0,0,0,
"Miṣr al-Qadīmah [Old Cairo] , مصر القديمة","Thursday, November 2nd 2023",8,47.3,3.78,11.35,32.84,0,0,1,10,0,15.13,3.78,1,N/A,0,0,0,0,0,0,0,
"Al-Muqaṭṭam , المقطم","Sunday, October 29th 2023",15,94.6,3.78,45.4,0,15,0,0.12,9,0,34.05,3.78,0.83,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",6,151.36,3.78,34.05,0,0,0,1.29,8,0,22.7,3.78,0.83,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",5,122.98,3.78,22.7,11.355,15,0,2.4,9,0,11.35,5.67,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",4,18.92,3.78,11.35,0,0,0,1.2,7,0,22.7,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",14,0,3.78,34.05,0,0,0,3,10,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",6,37.84,3.78,22.7,22.71,0,0,0.23,6,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, November 1st 2023",18,47.3,3.78,11.35,0,0,0,0.6,6,0,0,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Al-'Ubūr [El Ubour] , العبور","Monday, October 30th 2023",16,122.98,3.78,34.05,0,0,0,1.1,7,0,34.05,3.465,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",15.5,0,3.78,22.7,0,15,0,1.29,8.5,0,11.35,2.08,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",9,0,3.78,34.05,0,0,0,0.6,7,0,11.35,1.89,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",21,0,3.78,34.05,0,0,0,1.6,3,28.38,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",15,50.138,3.78,68.1,0,0,0,2,5,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",6,94.6,3.78,45.4,0,0,0,1.2,0,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 29th 2023",4,56.76,3.78,45.4,0,0,0,0.8,6,0,0,6.05,0.5,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Sunday, October 29th 2023",5,0,3.78,22.7,0,0,0,1.1,4,0,11.35,1.89,0.33,N/A,0,0,0,0,0,0,0,
"Al-'Ubūr [El Ubour] , العبور","Monday, October 30th 2023",5,94.6,3.78,22.7,0,0,0,0.5,6,0,22.7,18.9,0.3,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",16,0,3.78,11.35,0,0,0,0.69,7,0,0,11.34,0.23,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",16,0,3.78,45.4,0,0,0,0.9,8,0,11.35,3.78,0.23,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",10,123,3.78,34.05,0,0,0,0.23,14,0,11.35,1.89,0.23,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,0,3.78,45.4,0,0,0,1,8,0,22.7,3.78,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",12,189.2,3.78,11.35,0,0,0,1.5,12,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Jīzah [Giza] , الجيزة","Thursday, November 2nd 2023",8,85.14,3.78,11.35,0,0,0,0.69,10,0,0,0,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Thursday, November 2nd 2023",11,0,3.78,22.7,0,0,0,0.6,8,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Tuesday, October 31st 2023",10,94.6,3.78,45,0,0,0,2.4,4,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",21,141.9,3.78,34.05,7.75,0,0,0.6,3,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",12,141.9,3.78,56.75,0,0,0,2.7,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",24,37.84,3.78,0,0,0,0,1.3,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,0,3.78,28.38,0,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, November 1st 2023",20,85.14,3.78,34.05,0,0,0,1.2,4,0,0,7.56,0,did not go out,0,0,0,0,0,0,0,
"Al-Ahrām , الأهرام","Wednesday, November 1st 2023",2.5,157.982,3.78,11.35,0,0,0,0.23,10.5,0,22.7,15.76,5.6,0,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",14,28,3.78,11,0,15,8,0.6,10,20,11.35,3.78,3,0,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Thursday, November 2nd 2023",6,94.6,3.78,22.7,0,0,0,1.2,8,0,22.7,3.78,1.8,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",12,141.9,3.78,11.35,0,15,0,1.2,12,0,11.35,7.56,1.2,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",12,141.9,3.78,11.35,0,15,0,1.2,12,0,11.35,3.78,1.2,0,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, November 1st 2023",8.5,94.6,3.8,45.4,0,0,0,0.5,5,0,11.35,0.95,0.3,i didn’t go to another place ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",2.5,89.1132,3.843,22.7,0,0,0,0.8,12,0,11.35,2.41605,1.1,hanging around,2.5,0,0,0,0.5,0,0,
AUC Dorm,"Wednesday, November 1st 2023",16,0,3.9,47.67,0,0,0,2,8,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",18,146.6,3.9,34,0,0,0,2.9,4,0,0,0,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Monday, October 30th 2023",22,94.6,3.9,40.86,7.57,0,0,3.2,2,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Hada'iq al-Qubbah  , حدائق القبة","Tuesday, October 31st 2023",7.5,217.5,3.906,11.35,0,0,0,1,14,0,34.05,27.846,2.7,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",17,27.2763,3.906,11.35,9.210167,0,0,2.45,7,0,34.05,9.954,0.65,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",18.5,43.043,3.969,22.7,0,0,0,1.2,5.5,0,11.35,4.851,0.65,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 29th 2023",7,0,4,0,0,15,0,0,12,0,24,8,2,club,2,0,0,0,1,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 29th 2023",3,113.52,4,34.05,0,0,0,2,7,0,45.4,11.34,2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",6,5,4,2,0,0,0,1,9,0,1,2,1,N/A,0,0,0,0,0,0,0,
"Al-'Umrāniyah , العمرانية","Sunday, October 29th 2023",8,141,4,34,16,15,0,0.6,7,0,0,4,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",12,104,4,23,0,0,0,0,12,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",24,20,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",12,85.14,4.02,34.05,0,0,0,3,3,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Wednesday, November 1st 2023",15,357.32,4.095,22.7,0,15,0,1.43,7,0,11.35,0.945,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",4.5,57.4,4.12,34.05,0,0,0,1.8,5.5,0,11.35,1.36,0.6,gym,1,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",2,0,4.23,11.35,0,0,0,0.4,5,0,0,0,0,CFCM and a Friends house (both in new cairo),5.5,0,2.45,11.35,1,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Thursday, November 2nd 2023",17,18.92,4.28,22.7,0,30,4,1.25,7,0,0,0,1,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",20,104.06,4.284,45.4,113.55,0,0,2,4,0,0,0,1.5,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",10,75.68,4.3,22.7,0,0,0,1.8,0,0,0,0,0,restaurant,3,0,2.4,0,0.6,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 29th 2023",10,94.6,4.32,34.05,0,0,0,0.92,3,0,0,0,0,Club ,2,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",7,0,4.41,34.05,0,0,0,0.69,7,0,0,0,0,hanging around,2,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",15,0,4.41,11.35,0,0,0,1.15,7,0,0,0,0.6,Club ,2,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 30th 2023",14,122.98,4.41,45.4,37.85,0,0,1.5,10,0,45.4,2.52,1.2,N/A,0,0,0,0,0,0,0,
"Al-Mūskī , الموسكي","Tuesday, October 31st 2023",8,132.44,4.5,56.75,0,0,0,1.5,0,0,0,0,0,Hanging around,3,0,0.756,0,0.6,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",18,142,4.5,22.7,0,0,0,0.3,6,0,11.35,0.378,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",15,73.7,4.5,56.75,4.542,0,0,4.2,9,0,11.35,1.5,0,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 31st 2023",6.33,37.84,4.536,22.7,0,0,0,0.8,3,0,0,0.756,0.6,Cinema,4,0,1.512,0,1.2,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",6.75,52.03,4.536,34.05,0,0,0,1.2,6,0,0,1.512,0.8,Gym,1.33,0,1.512,11.35,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",18,0,4.536,34.05,0,0,0,0.9,4,0,11.35,0.945,0.6,restaurant ,2,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",13,312.18,4.536,11.35,0,0,0,0,11,0,11.35,3.024,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",9.5,0,4.536,22.7,0,0,0,1.2,4,0,0,0,0.2,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Monday, October 30th 2023",20,0,4.54,34.05,49.21,0,0,0.83,2,0,0,0,0,mall,2,0,0,0,0,0,0,
AUC Dorm,"Sunday, October 29th 2023",11,0,4.56,34.05,0,0,0,0.5,4.5,0,0,0,1.6,Aunt's house,6,0,1.1,6.81,1,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Monday, October 30th 2023",9,0,4.56,1,0,15,4,0.6,12,0,11.35,1.89,0.6,Club,3,0,0,0,0.8,0,0,
AUC Dorm,"Wednesday, November 1st 2023",5,0,4.599,22.7,0,0,0,0.33,3,0,0,0,0.33,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",7,87.978,4.6872,22.7,0,0,0,3.6,7,0,2.7,3.024,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 29th 2023",14,75.68,4.725,34.05,0,0,0,0.6,0,0,0,0,0,hanging out in a meeting point,6,0,0.945,11.35,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",19.5,56.76,4.725,34.05,151.4,0,0,2,4.5,0,11.35,1.26,0,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",9,0,4.73,11.35,0,0,0,0.5,8,0,22.7,6.1,0.8,"Driving, hanging around ",7,0,4.2,11.35,0.9,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,104.06,4.73,45.4,26.5,0,0,0.92,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",20,10.78,4.89,34.05,15.8,0,0,2,0,0,0,0,0,Doctor's clinic,3,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",6.5,69.56,4.89,56.75,0,0,0,2.1,6,0,22.7,1.78,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",21,124.8,4.91,34,0,0,0,3,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",15.5,80.41,4.914,56.75,0,0,0,0.6,2,0,0,0,0,Club and friends house,6.5,0,1.26,11.35,2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",5,65.4,4.97,45.4,0,0,0,1.8,5.5,0,11.35,1.33,0.6,gym,1,0,0.8,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",12,378,5,22,0,0,0,0.8,7,0,11.3,2,0.6,hanging around,5,0,5,11.35,0.6,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",24,0,5,34.1,0,0,0,0.6,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Sunday, October 29th 2023",20.5,52.5,5.06,22.7,125.39,0,0,0.38,3.5,0,11.35,1.17,0.52,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",15,236,5.1,22.7,0,15,0,1,5,0,11.35,1.7,0.6,restaurant,4,0,1.1,11.35,0.23,0,0,
AUC Dorm,"Thursday, November 2nd 2023",19.5,189.2,5.1,54.48,110.5,0,0,1.8,4.5,0,0,1.5,0.5,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",4,12.4872,5.1408,34.05,0,0,0,0.6,5,0,22.7,0.945,1.15,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",14,58.34,5.292,22.7,0,0,0,0.83,3,0,11.35,0.945,0.6,cafe,5,0,2.394,11.35,0.9,0,0,
"Al-Mūskī , الموسكي","Thursday, November 2nd 2023",6,151.36,5.292,56.75,0,0,0,1.2,5.5,0,22.7,1.512,0.6,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",19,0,5.292,34.05,0,0,0,0.8,5,0,0,0,0.5,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 30th 2023",16,66.22,5.3,34.05,0,0,0,0,8,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Wednesday, November 1st 2023",3,0,5.45,11.35,1.2,0,0,0.6,10,0,11.35,3.78,1.45,Supermarket,1,0,0,0,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",22.5,0,5.48,56.75,32.8,0,0,0.92,1.5,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 30th 2023",3,33.11,5.481,11.35,0,0,0,0.23,5,0,11.35,2.268,0.23,Restaurant,2,0,3.024,11.35,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",17,85.14,5.67,45.4,0,0,0,1.6,0,0,0,0,0,Gym,2,0,0,0,1.5,0,0,
"Ash-Shurūq , الشروق","Tuesday, October 31st 2023",14,0,5.67,22.7,0,0,0,1.2,0,0,0,0,0,restaurent & hanging around,8.5,0,3.15,11.35,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",13,0,5.67,34.05,0,0,0,0.46,5,0,0,0,0,Training and grandmother’s house,5.5,0,3.78,22.7,0.92,0,0,
"Al-Muqaṭṭam , المقطم","Wednesday, November 1st 2023",4,283.3,5.67,11.35,0,0,0,0.9,6,0,34.05,7.56,1.8,club,2,0,3.78,0,0.9,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",9,283.6,5.67,34.05,0,0,60,0.6,6,0,0,0,0.6,restaurant ,4,0,0,0,0.9,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 31st 2023",19,283.8,5.67,34.05,0,15,0,1.2,0,0,0,0,0,office,5,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",9,160.82,5.67,22.7,0,0,0,0,10,0,11.35,1.89,0.23,Friends House ,5,0,3.78,0,0.46,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",14,132.44,5.67,45.4,30.28,0,0,1,7,0,22.7,3.78,0.6,restaurant ,3,0,0.63,11.35,0.23,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 29th 2023",14.75,132.44,5.67,11.35,0,0,0,0.46,7.5,0,34.05,13.23,1.5,"Driving, walking ",1.75,0,0,0,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",3,94.6,5.67,11.35,0,0,0,2,10,0,34.05,7.56,1.2,club ,2,0,4.67,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, November 1st 2023",9,94.6,5.67,22.7,0,0,0,1,9,0,11.35,1.89,0,Restaurant,2,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",4,47.3,5.67,34.05,0,0,0,1.2,6,0,45.4,7.56,3,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Wednesday, November 1st 2023",14,0,5.67,34.05,7.57,0,0,1,10,0,22.7,1.89,2.5,N/A,0,0,0,0,0,0,0,
